Bundesland / Messnetz,Stationscode,Stationsname,Stationsumgebung,Art der Station,Schadstoff,Art der Auswertung,Datum,Uhrzeit,Messwert,Einheit
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),27.02.2019,'01:00',37,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),27.02.2019,'02:00',29,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),27.02.2019,'03:00',20,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),27.02.2019,'04:00',33,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),27.02.2019,'05:00',44,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),27.02.2019,'06:00',45,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),27.02.2019,'07:00',52,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),27.02.2019,'08:00',58,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),27.02.2019,'09:00',48,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),27.02.2019,'10:00',34,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),27.02.2019,'11:00',28,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),27.02.2019,'12:00',26,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),27.02.2019,'13:00',21,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),27.02.2019,'14:00',24,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),27.02.2019,'15:00',21,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),27.02.2019,'16:00',18,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),27.02.2019,'17:00',21,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),27.02.2019,'18:00',26,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),27.02.2019,'19:00',27,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),27.02.2019,'20:00',30,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),27.02.2019,'21:00',34,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),27.02.2019,'22:00',48,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),27.02.2019,'23:00',51,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),27.02.2019,'24:00',49,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),28.02.2019,'01:00',51,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),28.02.2019,'02:00',61,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),28.02.2019,'03:00',57,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),28.02.2019,'04:00',58,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),28.02.2019,'05:00',64,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),28.02.2019,'06:00',63,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),28.02.2019,'07:00',54,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),28.02.2019,'08:00',39,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),28.02.2019,'09:00',22,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),28.02.2019,'10:00',12,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),28.02.2019,'11:00',7,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),28.02.2019,'12:00',5,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),28.02.2019,'13:00',5,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),28.02.2019,'14:00',5,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),28.02.2019,'15:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),28.02.2019,'16:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),28.02.2019,'17:00',7,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),28.02.2019,'18:00',7,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),28.02.2019,'19:00',10,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),28.02.2019,'20:00',9,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),28.02.2019,'21:00',8,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),28.02.2019,'22:00',4,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),28.02.2019,'23:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),28.02.2019,'24:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),01.03.2019,'01:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),01.03.2019,'02:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),01.03.2019,'03:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),01.03.2019,'04:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),01.03.2019,'05:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),01.03.2019,'06:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),01.03.2019,'07:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),01.03.2019,'08:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),01.03.2019,'09:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),01.03.2019,'10:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),01.03.2019,'11:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),01.03.2019,'12:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),01.03.2019,'13:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),01.03.2019,'14:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),01.03.2019,'15:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),01.03.2019,'16:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),01.03.2019,'17:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),01.03.2019,'18:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),01.03.2019,'19:00',6,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),01.03.2019,'20:00',7,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),01.03.2019,'21:00',8,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),01.03.2019,'22:00',12,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),01.03.2019,'23:00',12,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),01.03.2019,'24:00',7,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),02.03.2019,'01:00',5,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),02.03.2019,'02:00',5,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),02.03.2019,'03:00',5,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),02.03.2019,'04:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),02.03.2019,'05:00',5,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),02.03.2019,'06:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),02.03.2019,'07:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),02.03.2019,'08:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),02.03.2019,'09:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),02.03.2019,'10:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),02.03.2019,'11:00',7,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),02.03.2019,'12:00',6,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),02.03.2019,'13:00',5,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),02.03.2019,'14:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),02.03.2019,'15:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),02.03.2019,'16:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),02.03.2019,'17:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),02.03.2019,'18:00',6,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),02.03.2019,'19:00',10,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),02.03.2019,'20:00',11,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),02.03.2019,'21:00',12,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),02.03.2019,'22:00',17,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),02.03.2019,'23:00',22,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),02.03.2019,'24:00',21,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),03.03.2019,'01:00',14,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),03.03.2019,'02:00',8,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),03.03.2019,'03:00',6,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),03.03.2019,'04:00',5,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),03.03.2019,'05:00',5,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),03.03.2019,'06:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),03.03.2019,'07:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),03.03.2019,'08:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),03.03.2019,'09:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),03.03.2019,'10:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),03.03.2019,'11:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),03.03.2019,'12:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),03.03.2019,'13:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),03.03.2019,'14:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),03.03.2019,'15:00',5,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),03.03.2019,'16:00',10,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),03.03.2019,'17:00',7,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),03.03.2019,'18:00',5,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),03.03.2019,'19:00',5,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),03.03.2019,'20:00',7,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),03.03.2019,'21:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),03.03.2019,'22:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),03.03.2019,'23:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),03.03.2019,'24:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),04.03.2019,'01:00',5,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),04.03.2019,'02:00',5,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),04.03.2019,'03:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),04.03.2019,'04:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),04.03.2019,'05:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),04.03.2019,'06:00',5,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),04.03.2019,'07:00',7,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),04.03.2019,'08:00',11,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),04.03.2019,'09:00',10,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),04.03.2019,'10:00',10,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),04.03.2019,'11:00',6,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),04.03.2019,'12:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),04.03.2019,'13:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),04.03.2019,'14:00',4,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),04.03.2019,'15:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),04.03.2019,'16:00',4,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),04.03.2019,'17:00',5,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),04.03.2019,'18:00',5,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),04.03.2019,'19:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),04.03.2019,'20:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),04.03.2019,'21:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),04.03.2019,'22:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),04.03.2019,'23:00',2,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),04.03.2019,'24:00',5,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),05.03.2019,'01:00',6,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),05.03.2019,'02:00',7,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),05.03.2019,'03:00',6,µg/m³
Schleswig-Holstein,DESH008,Bornhöved,ländlich regional,Hintergrund,Stickstoffdioxid (NO₂),Ein-Stunden-Mittelwert (1SMW),05.03.2019,'04:00',6,µg/m³
